Park.Name,Breeder,Endangered,Extinct,In Recovery,Migratory,No Concern,Proposed Endangered,Proposed Threatened,Resident,Species of Concern,Threatened,Under Review,Park.Code,State,Acres,Latitude,Longitude
Acadia National Park,0,3,0,2,0,1634,0,0,0,65,1,4,ACAD,ME,47390,44.35,-68.21
Arches National Park,0,2,0,1,0,973,0,0,0,69,2,1,ARCH,UT,76519,38.68,-109.57
Badlands National Park,0,2,0,1,0,1320,0,0,0,62,1,3,BADL,SD,242756,43.75,-102.5
Big Bend National Park,0,11,0,2,0,2131,0,0,0,116,5,4,BIBE,TX,801163,29.25,-103.25
Biscayne National Park,0,12,0,2,0,1662,0,1,0,40,8,1,BISC,FL,172924,25.65,-80.08
Black Canyon of the Gunnison National Park,0,2,0,1,0,1040,0,0,0,61,1,1,BLCA,CO,32950,38.57,-107.72
Bryce Canyon National Park,0,2,0,1,0,1213,0,0,0,69,1,0,BRCA,UT,35835,37.57,-112.18
Canyonlands National Park,0,7,0,1,0,1143,0,0,0,69,3,0,CANY,UT,337598,38.2,-109.93
Capitol Reef National Park,0,6,0,2,0,1473,0,0,0,80,5,0,CARE,UT,241904,38.2,-111.17
Carlsbad Caverns National Park,0,4,0,1,0,1432,0,1,0,94,2,2,CAVE,NM,46766,32.17,-104.44
Channel Islands National Park,0,24,0,5,0,1741,0,0,0,104,8,3,CHIS,CA,249561,34.01,-119.42
Congaree National Park,0,4,0,1,0,2272,0,0,0,37,1,6,CONG,SC,26546,33.78,-80.78
Crater Lake National Park,0,4,0,3,0,3677,0,1,0,66,5,4,CRLA,OR,183224,42.94,-122.1
Cuyahoga Valley National Park,0,1,1,1,0,1880,0,0,0,52,1,5,CUVA,OH,32950,41.24,-81.55
Death Valley National Park,0,24,0,2,0,4192,1,0,0,177,16,27,DEVA,"CA, NV",4740912,36.24,-116.82
Denali National Park and Preserve,0,0,0,0,0,1288,0,0,0,30,1,1,DENA,AK,3372402,63.33,-150.5
Dry Tortugas National Park,0,5,0,1,0,788,0,0,0,46,6,2,DRTO,FL,64701,24.63,-82.87
Everglades National Park,1,16,0,2,0,1972,2,1,1,73,4,12,EVER,FL,1508538,25.32,-80.93
Gates Of The Arctic National Park and Preserve,0,0,0,0,0,1332,0,0,0,21,0,0,GAAR,AK,7523898,67.78,-153.3
Glacier Bay National Park and Preserve,0,9,0,1,0,1896,0,0,0,47,3,1,GLBA,AK,3224840,58.5,-137
Glacier National Park,0,0,0,2,0,2473,0,0,0,75,2,4,GLAC,MT,1013572,48.8,-114
Grand Canyon National Park,0,11,0,3,0,2487,0,0,0,114,4,3,GRCA,AZ,1217403,36.06,-112.14
Grand Teton National Park,0,3,0,2,0,1944,0,0,0,77,1,3,GRTE,WY,309995,43.73,-110.8
