"","Park.Name","Algae","Amphibian","Bird","Crab/Lobster/Shrimp","Fish","Fungi","Insect","Invertebrate","Mammal","Nonvascular Plant","Reptile","Slug/Snail","Spider/Scorpion","Vascular Plant","Park.Code","State","Acres","Latitude","Longitude","Size"
"1","Acadia National Park",0,15,364,0,38,0,0,0,55,0,11,0,0,1226,"ACAD","ME",47390,44.35,-68.21,"Small"
"2","Arches National Park",0,8,205,0,11,0,0,0,59,0,20,0,0,745,"ARCH","UT",76519,38.68,-109.57,"Medium"
"3","Badlands National Park",0,10,239,0,24,173,239,1,64,0,13,0,1,625,"BADL","SD",242756,43.75,-102.5,"Large"
"4","Big Bend National Park",0,13,415,0,53,0,0,0,89,48,62,0,0,1589,"BIBE","TX",801163,29.25,-103.25,"Large"
"5","Biscayne National Park",0,8,233,0,818,0,11,34,28,0,40,0,0,554,"BISC","FL",172924,25.65,-80.08,"Medium"
"6","Black Canyon of the Gunnison National Park",0,2,175,0,16,0,0,0,67,0,11,0,0,835,"BLCA","CO",32950,38.57,-107.72,"Small"
"7","Bryce Canyon National Park",0,4,217,0,1,0,0,0,76,0,13,0,0,975,"BRCA","UT",35835,37.57,-112.18,"Small"
"8","Canyonlands National Park",0,7,220,0,33,0,0,0,76,0,22,0,0,865,"CANY","UT",337598,38.2,-109.93,"Large"
"9","Capitol Reef National Park",0,6,248,0,15,0,0,0,73,0,21,0,0,1203,"CARE","UT",241904,38.2,-111.17,"Large"
"10","Carlsbad Caverns National Park",0,15,367,0,5,0,0,0,92,0,62,0,0,995,"CAVE","NM",46766,32.17,-104.44,"Small"
"11","Channel Islands National Park",61,4,357,11,273,0,2,196,44,68,11,33,1,824,"CHIS","CA",249561,34.01,-119.42,"Large"
"12","Congaree National Park",74,43,200,6,65,279,617,15,39,7,50,21,21,884,"CONG","SC",26546,33.78,-80.78,"Small"
"13","Crater Lake National Park",218,20,252,40,13,192,994,68,96,193,20,9,17,1628,"CRLA","OR",183224,42.94,-122.1,"Medium"
"14","Cuyahoga Valley National Park",0,24,246,8,85,0,227,25,47,0,23,15,2,1239,"CUVA","OH",32950,41.24,-81.55,"Small"
"15","Death Valley National Park",60,71,531,38,9,123,903,18,212,22,90,72,32,2258,"DEVA","CA, NV",4740912,36.24,-116.82,"Extra Large"
"16","Denali National Park and Preserve",0,1,179,0,14,29,51,3,43,159,0,0,0,841,"DENA","AK",3372402,63.33,-150.5,"Extra Large"
"17","Dry Tortugas National Park",0,0,283,0,281,0,0,42,6,0,5,0,0,231,"DRTO","FL",64701,24.63,-82.87,"Small"
"18","Everglades National Park",0,17,370,0,426,0,0,0,42,0,61,0,0,1168,"EVER","FL",1508538,25.32,-80.93,"Extra Large"
"19","Gates Of The Arctic National Park and Preserve",0,1,134,0,17,474,0,0,39,0,0,0,0,688,"GAAR","AK",7523898,67.78,-153.3,"Extra Large"
"20","Glacier Bay National Park and Preserve",64,5,258,96,359,2,35,117,58,98,3,37,3,822,"GLBA","AK",3224840,58.5,-137,"Extra Large"
"21","Glacier National Park",2,6,277,6,27,276,197,2,69,404,4,20,0,1266,"GLAC","MT",1013572,48.8,-114,"Extra Large"
"22","Grand Canyon National Park",0,15,456,0,29,0,57,1,106,0,76,2,142,1738,"GRCA","AZ",1217403,36.06,-112.14,"Extra Large"
"23","Grand Teton National Park",1,7,266,1,21,28,154,5,74,0,5,4,1,1463,"GRTE","WY",309995,43.73,-110.8,"Large"
"24","Great Basin National Park",0,22,330,6,21,15,456,29,103,16,58,30,18,1549,"GRBA","NV",77180,38.98,-114.3,"Medium"
"25","Great Sand Dunes National Park and Preserve",0,6,240,0,6,0,1,0,68,1,8,0,0,622,"GRSA","CO",42984,37.73,-105.51,"Small"
"26","Great Smoky Mountains National Park",0,61,272,10,107,632,2414,84,94,528,51,92,104,2174,"GRSM","TN, NC",521490,35.68,-83.53,"Large"
"27","Guadalupe Mountains National Park",0,12,272,5,3,66,115,7,76,5,56,58,2,1069,"GUMO","TX",86416,31.92,-104.87,"Medium"
